
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-05-02;45.488,71;5831309993597;47.913,89;5948793319898;43.685,47;7867437403221;47.169,15;1884032556460;73.026,85;902724873236;43.489,02;4914172352613;48.306,83;25124262441
2020-05-03;45.488,71;5831309993597;47.913,89;5948793319898;43.685,47;7867437403221;47.169,15;1884032556460;73.026,85;902724873236;43.489,02;4914172352613;48.306,83;25124262441
2020-05-04;45.679,29;5836163630381;48.079,27;5967026393698;43.833,78;7876947302005;47.360,77;1888419731760;73.317,02;909248725811;43.665,91;4925516880460;48.419,66;32651794881
2020-05-05;45.686,00;5824668164191;48.117,78;5963943896705;43.818,45;7858542762682;47.388,50;1888537893280;73.348,89;909238443412;43.690,32;4924470832601;48.434,06;32563706879
2020-05-06;45.840,61;5828639402253;48.208,89;5954222409503;43.983,50;7863517138445;47.545,66;1890759322826;73.602,37;911429344941;43.855,73;4938519635385;48.556,71;32519581368
2020-05-07;45.917,11;5855528441146;48.251,85;5961540211112;44.062,05;7896164130498;47.608,45;1893829540263;73.705,36;913315110422;43.927,43;4949585933635;48.611,77;32468784523
2020-05-08;46.011,17;5892706225380;48.347,52;5971316131939;44.154,84;7915868393956;47.718,95;1897550206531;73.857,45;915548894435;44.033,65;4961485206953;48.707,61;32481338178
2020-05-09;46.011,17;5892706225380;48.347,52;5971316131939;44.154,84;7915868393956;47.718,95;1897550206531;73.857,45;915548894435;44.033,65;4961485206953;48.707,61;32481338178
2020-05-10;46.011,17;5892706225380;48.347,52;5971316131939;44.154,84;7915868393956;47.718,95;1897550206531;73.857,45;915548894435;44.033,65;4961485206953;48.707,61;32481338178
2020-05-11;46.130,55;5907286189026;48.476,18;5976837111438;44.283,00;7930651661602;47.858,13;1902266358386;74.039,74;917399802122;44.165,37;4975629282746;48.813,19;32532131126
2020-05-12;46.333,53;5937916378114;48.687,18;6003773482287;44.520,66;7974097775132;48.085,63;1912275411496;74.374,41;921624816847;44.364,16;5000575505249;48.988,28;32614020983
2020-05-13;46.533,11;5999723469543;48.876,72;6329661588005;44.686,08;8402035552686;48.290,84;2001430269570;74.703,02;952255158707;44.559,07;5224140173240;49.155,24;33798300537
2020-05-14;46.536,29;6273852917252;48.870,09;6612689305151;44.690,44;8806717623022;48.317,63;2057682023220;74.754,75;971674596202;44.576,16;5363158208300;49.169,35;34503178356
2020-05-15;46.575,25;6474932073003;48.917,26;6779428136583;44.724,73;9205035476998;48.339,80;2099286339706;74.815,72;987238449292;44.602,59;5397378996634;49.189,89;38827135313
2020-05-16;46.575,25;6474932073003;48.917,26;6779428136583;44.724,73;9205035476998;48.339,80;2099286339706;74.815,72;987238449292;44.602,59;5397378996634;49.189,89;38827135313
2020-05-17;46.575,25;6474932073003;48.917,26;6779428136583;44.724,73;9205035476998;48.339,80;2099286339706;74.815,72;987238449292;44.602,59;5397378996634;49.189,89;38827135313
2020-05-18;46.664,57;6624725918295;48.992,78;6858533907383;44.810,14;9402835746738;48.448,00;2140339118336;74.983,19;990407837035;44.710,71;5421621693469;49.296,25;39702390502
2020-05-19;46.952,93;6785868566989;49.236,73;6905645411218;45.084,38;9636102009506;48.763,18;2190313112344;75.482,81;997809817672;44.999,97;5465421572479;49.603,17;40547141977
2020-05-20;47.086,88;6859580742252;49.373,95;6935354535397;45.187,44;9716533629778;48.911,27;2231299798880;75.711,10;1001789490241;45.140,23;5489703734767;49.755,06;41350622228
2020-05-21;47.086,88;6859580742252;49.373,95;6935354535397;45.187,44;9716533629778;48.911,27;2231299798880;75.711,10;1001789490241;45.140,23;5489703734767;49.755,06;41350622228
2020-05-22;47.257,41;6899658023949;49.524,80;6962912060944;45.308,14;9752744726319;49.083,27;2253933742887;76.011,66;1006011387253;45.323,41;5516280275783;49.929,09;41912376612
2020-05-23;47.257,41;6899658023949;49.524,80;6962912060944;45.308,14;9752744726319;49.083,27;2253933742887;76.011,66;1006011387253;45.323,41;5516280275783;49.929,09;41912376612
2020-05-24;47.257,41;6899658023949;49.524,80;6962912060944;45.308,14;9752744726319;49.083,27;2253933742887;76.011,66;1006011387253;45.323,41;5516280275783;49.929,09;41912376612
2020-05-25;47.591,37;6959066604483;49.891,48;7027281762519;45.604,57;9826148230047;49.474,95;2274193010654;76.625,37;1014343181521;45.688,82;5563654787569;50.302,83;42128100792
2020-05-26;47.696,06;6979832308606;50.011,51;7044718506078;45.689,76;9851592937215;49.576,13;2280119569772;76.787,65;1016622686475;45.806,17;5580655028855;50.419,83;42276401356
2020-05-27;47.499,97;6951650208620;49.785,76;7007624252604;45.495,30;9807158082302;49.331,01;2269033121169;76.424,43;1012196085891;45.608,82;5556105279448;50.192,24;42093168356
2020-05-28;46.975,79;6877350592654;49.185,98;6923313933005;45.040,83;9707385157074;48.779,15;2244242323834;75.485,38;999939147549;45.034,01;5486694969230;49.607,27;41618180272
2020-05-29;47.351,41;6935671564440;49.640,42;6986627694963;45.334,21;9771076494493;49.186,55;2263722241613;76.122,00;1008969231408;45.432,99;5536798301761;50.043,50;41823539321
2020-05-30;47.351,41;6935671564440;49.640,42;6986627694963;45.334,21;9771076494493;49.186,55;2263722241613;76.122,00;1008969231408;45.432,99;5536798301761;50.043,50;41823539321
2020-05-31;47.351,41;6935671564440;49.640,42;6986627694963;45.334,21;9771076494493;49.186,55;2263722241613;76.122,00;1008969231408;45.432,99;5536798301761;50.043,50;41823539321
2020-06-01;47.449,32;6894269586971;49.736,45;7003861478969;45.395,86;9761685357534;49.271,76;2267618988114;76.302,88;1012761257411;45.525,36;5538601928283;50.124,74;43182473566
2020-06-02;47.474,51;7245128179322;49.757,93;7355471670947;45.441,26;10259731829686;49.295,38;2382298612954;76.357,81;1064207746468;45.590,60;5824744254442;50.143,87;45295607321
2020-06-03;47.357,88;7574483936304;49.650,69;7685346011238;45.314,27;10717524119172;49.180,98;2490207945052;76.148,51;1084409470847;45.492,66;6029051801747;50.022,85;47343708677
2020-06-04;47.107,47;7893302169960;49.404,34;8012153658519;45.112,94;11176969598955;48.917,82;2598165434564;75.711,93;1087008368667;45.258,91;6054594320017;49.742,52;49137090456
2020-06-05;46.828,09;7914524737531;49.094,49;8136611647899;44.895,93;11655951440972;48.623,43;2647087091275;75.210,40;1084602399578;44.963,35;6044053288819;49.415,31;50807598417
2020-06-06;46.828,09;7914524737531;49.094,49;8136611647899;44.895,93;11655951440972;48.623,43;2647087091275;75.210,40;1084602399578;44.963,35;6044053288819;49.415,31;50807598417
